year,gdppc_phl,gdppc_usa
1976,1683.659989,28370.457
1977,1730.594097,29385.31926
1978,1772.228202,30684.99877
1979,1822.145023,31309.04932
1980,1867.568624,30930.42145
1981,1881.815203,31405.60626
1982,1898.139306,30546.75875
1983,1878.601734,31656.17366
1984,1696.576738,33654.30793
1985,1537.665558,34748.26687
1986,1551.408928,35620.75936
1987,1576.97337,36523.40449
1988,1638.036824,37705.06004
1989,1696.002363,38722.25215
1990,1704.075689,39009.37251
1991,1656.383497,38449.88153
1992,1624.349398,39256.04813
1993,1620.355058,39807.8795
1994,1654.746139,40907.01844
1995,1693.808731,41507.91356
1996,1752.238001,42575.68969
1997,1800.259131,43936.905
1998,1746.525905,45374.62152
1999,1759.421052,47004.46902
2000,1793.347611,48379.75517
2001,1807.708925,48361.01676
2002,1837.254293,48729.15864
2003,1892.82162,49662.75205
2004,1978.344891,51098.5573
2005,2037.877661,52393.45131
2006,2110.420448,53335.5897
2007,2209.346511,53889.3965
2008,2264.946291,53442.71369
2009,2256.725548,51611.32171
2010,2373.143121,52555.76951
2011,2416.752121,52956.66303
2012,2533.74142,53738.14767
2013,2654.415069,54462.62524
2014,2776.920059,55394.45104
2015,2909.85818,56572.9189
2016,3076.337419,57151.47084
2017,3247.450388,58151.70214
2018,3410.93648,59526.6657
2019,3575.881709,60750.98986
2020,3198.6669,59194.66652
2021,3350.975876,62680.25036
2022,3577.701366,63886.13171
2023,3744.697638,65186.59772
2024,3925.30487,66356.17068
