year,emp_phl,emp_usa,gov_consumption_phl,gov_consumption_usa,labor_share_phl,labor_share_usa
1950,6.5799041,62.4649,0.1277551,0.1026,0.4403513,0.6284
1951,6.7677231,64.9349,0.130744,0.1275,0.4403513,0.6337
1952,6.9608841,65.8291,0.1316048,0.1473,0.4403513,0.6449
1953,7.1595373,66.7851,0.1222194,0.1505,0.4403513,0.6445
1954,7.3638272,65.5197,0.1204195,0.1413,0.4403513,0.6371
1955,7.5739079,67.2934,0.1181329,0.131,0.4403513,0.6268
1956,7.7899685,68.8956,0.1177712,0.128,0.4403513,0.6404
1957,7.8813982,69.2199,0.1154155,0.1311,0.4403513,0.6387
1958,8.3220167,67.9431,0.1162983,0.1362,0.4403513,0.6358
1959,8.4679079,69.4829,0.1077693,0.1275,0.4403513,0.6294
1960,8.3054743,70.646,0.1176714,0.1248,0.4403513,0.6367
1961,8.9921684,70.6938,0.1203683,0.1281,0.4403513,0.6337
1962,9.378314,71.7678,0.1140275,0.1297,0.4403513,0.6291
1963,9.7654266,72.7673,0.116544,0.1276,0.4403513,0.6264
1964,10.2828732,74.4172,0.1204043,0.1242,0.4403513,0.6244
1965,10.0397186,76.191,0.1225745,0.1235,0.4403513,0.6194
1966,10.6836081,78.5942,0.1203367,0.1286,0.4403513,0.6229
1967,11.2107887,80.5108,0.1338652,0.1391,0.4403513,0.6301
1968,11.162158,82.1303,0.135606,0.1414,0.4403513,0.6342
1969,10.9277496,84.0794,0.1373451,0.1416,0.4403513,0.6439
1970,11.0473862,84.4426,0.1386872,0.1417,0.4403513,0.649
1971,12.1999788,84.6576,0.1527275,0.1394,0.4403513,0.6376
1972,12.2563028,87.0524,0.1758475,0.1347,0.4403513,0.6394
1973,13.5230637,89.9233,0.1917663,0.1262,0.4403513,0.6407
1974,13.4846373,91.6358,0.2218351,0.1307,0.4403513,0.641
1975,14.170536,90.5058,0.2371426,0.1355,0.4403513,0.6256
1976,13.9064398,93.325,0.2207914,0.1282,0.4403513,0.6216
1977,13.9547749,96.5252,0.2118701,0.1249,0.4403513,0.6216
1978,15.6959734,100.4925,0.2014957,0.1199,0.4403513,0.6223
1979,15.8419752,103.1409,0.198668,0.116,0.4403513,0.6226
1980,16.0088863,103.4705,0.1865976,0.1188,0.4403513,0.6243
1981,16.9640198,104.6984,0.1803095,0.1194,0.4403513,0.6142
1982,16.8753815,103.9799,0.1909052,0.1249,0.4403513,0.6167
1983,18.6602173,105.4354,0.1801629,0.122,0.4403513,0.6039
1984,19.0395069,109.8617,0.172898,0.115,0.4403513,0.602
1985,19.171236,112.1909,0.1872115,0.1159,0.4403513,0.6023
1986,19.9527473,114.7296,0.186727,0.1187,0.4403513,0.6077
1987,20.1273594,117.6642,0.1840268,0.1174,0.4403513,0.616
1988,20.7961273,120.2041,0.1896912,0.1147,0.4403513,0.6207
1989,21.1202278,122.5501,0.19426,0.1143,0.4403513,0.6119
1990,21.7438412,123.9097,0.1867998,0.1088,0.4403513,0.6152
1991,22.3285694,122.7396,0.1870396,0.1109,0.4403513,0.6151
1992,23.0420551,123.2876,0.1869265,0.1086,0.4403513,0.62
1993,23.7212486,124.8457,0.1951545,0.1053,0.4410143,0.6142
1994,24.3191795,127.4992,0.1973277,0.1015,0.4453943,0.608
1995,24.9914436,129.1882,0.1957671,0.0973,0.4424427,0.6074
1996,25.6164017,130.8417,0.1924745,0.0912,0.4396697,0.6071
1997,26.2625103,133.4888,0.191132,0.0925,0.4365153,0.6096
1998,26.9991245,135.2376,0.1845343,0.0922,0.4299985,0.623
1999,27.6236591,137.1522,0.1723207,0.0925,0.4232445,0.6259
2000,28.3119488,138.8072,0.1604252,0.0922,0.3955927,0.6371
2001,29.1507473,138.7692,0.1504065,0.0963,0.3845956,0.6403
2002,29.923748,138.34,0.1385279,0.1001,0.3829421,0.6301
2003,30.6417503,139.0181,0.139108,0.1029,0.3760141,0.6216
2004,31.6117516,140.7639,0.1338707,0.1029,0.4160434,0.617
2005,31.7991657,143.1337,0.1340823,0.1063,0.4121331,0.6056
2006,32.5893135,145.8643,0.1305156,0.1068,0.4113477,0.6055
2007,33.7635002,147.2975,0.1194378,0.108,0.4144567,0.603
2008,34.0890007,147.2433,0.1049323,0.1123,0.4239557,0.6015
2009,35.097065,142.3013,0.1052713,0.1229,0.4163199,0.5898
2010,36.1472244,141.9643,0.0940714,0.1232,0.4582566,0.5855
2011,37.0800781,143.618,0.0855042,0.1196,0.4691904,0.5902
2012,37.7127991,146.3316,0.1053284,0.1134,0.460835,0.5908
2013,38.118,148.0279,0.1047586,0.111,0.4514262,0.5872
2014,38.5737,150.6373,0.1026367,0.1103,0.4498023,0.5883
2015,38.7410011,153.0717,0.1050648,0.1114,0.4383569,0.5909
2016,40.9946976,155.6812,0.1054767,0.1132,0.4408826,0.5892
2017,40.3339882,158.4685,0.1072178,0.1147,0.4404195,0.5913
2018,41.1530037,161.0656,0.1177081,0.1168,0.4412602,0.5906
2019,42.4247246,163.9235,0.1217861,0.1166,0.4324474,0.5918
2020,39.3744621,154.9397,0.1505357,0.1245,0.4496471,0.6056
2021,41.0566254,160.8613,0.1533105,0.1216,0.4674657,0.5939
2022,45.8335838,165.5785,0.1494783,0.1172,0.4596792,0.5762
2023,47.4341087,167.5397,0.141891,0.1168,0.4490565,0.5683
