year,tax_rate_phl,tax_rate_usa
1990,32.54185893,89.82629875
1991,33.34247703,89.07857885
1992,33.52962315,88.62365591
1993,32.49554677,88.77145323
1994,33.86778718,88.31249354
1995,35.7999723,89.09431173
1996,37.06393689,90.23120569
1997,39.83113559,90.70345072
1998,43.95621542,91.036575
1999,42.62890156,90.13109978
2000,44.05223615,91.15543422
2001,45.26157131,90.97572877
2002,44.61939724,89.60337184
2003,44.56758721,89.57249219
2004,45.98284383,89.71187634
2005,45.82406213,91.06840104
2006,43.8416175,91.86740685
2007,45.75966694,92.58956935
2008,45.96234932,91.94544027
2009,44.35375259,90.21259285
2010,44.7327852,91.31987167
2011,47.5813221,92.05219485
2012,47.20507116,91.8565514
2013,46.77724773,91.71181773
2014,45.65955588,91.8988724
2015,46.6104463,92.07902339
2016,46.51694868,92.29269157
2017,45.5526937,82.81215733
2018,40.35299623,90.92620592
2019,41.18700138,91.02346305
2020,41.74713024,91.95489252
2021,38.55098269,92.29464437
2022,38.41782559,92.84499213
2023,40.94977306,92.91317795
